Player_ID,Player Name,Position,Nationality,Age,Height,Year,Versus,Match_Date,Winner,Serve_Points,Serve_Errors,Serve_Attempts,Total_Serves,Set_Successes,Set_Errors,Set_Attempts,Total_Sets,Attack_Success,Attack Errors,Attack_Attempts,Total_Attacks,Block_Successful,Block_Errors,Block_Rebounds,Total_Blocks,Reception_Successful,Reception_Errors,Reception_Attemps,Total_Receptions,Dig_Success,Dig_Errors,Dig_Attempts,Total_Digs
156326.0,Guilliams Jodie,OH,Belgium,24.0,180,2021,Brazil,2021-06-07,False,1,1,5,7,0,0,1,1,1,1,8,10,0,6,0,6,3,1,13,17,2,2,2,6
156326.0,Guilliams Jodie,OH,Belgium,24.0,180,2021,Serbia,2021-06-08,True,2,3,15,20,0,1,3,4,9,7,21,37,3,2,2,7,3,1,20,24,15,4,2,21
156326.0,Guilliams Jodie,OH,Belgium,24.0,180,2021,USA,2021-06-12,False,0,0,2,2,0,0,0,0,0,0,6,6,0,0,0,0,2,0,10,12,2,0,0,2
156326.0,Guilliams Jodie,OH,Belgium,24.0,180,2021,Japan,2021-06-14,False,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
156326.0,Guilliams Jodie,OH,Belgium,24.0,180,2021,Thailand,2021-06-18,True,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,1,0,1,2,0,0,0,0
156326.0,Guilliams Jodie,OH,Belgium,24.0,180,2021,Italy,2021-06-19,True,0,1,15,16,0,0,1,1,6,1,10,17,0,2,0,2,1,0,2,3,4,1,0,5
156326.0,Guilliams Jodie,OH,Belgium,24.0,180,2021,Canada,2021-06-20,True,0,2,2,4,0,0,2,2,1,0,3,4,0,2,4,6,1,0,0,1,1,0,0,1
181274.0,Gilson Helena,OH,Belgium,22.0,184,2021,Netherlands,2021-05-25,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181274.0,Gilson Helena,OH,Belgium,22.0,184,2021,Russia,2021-05-26,False,0,0,0,0,0,0,0,0,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0
181274.0,Gilson Helena,OH,Belgium,22.0,184,2021,Germany,2021-05-27,False,0,2,1,3,0,0,0,0,1,1,3,5,0,1,0,1,0,0,1,1,0,0,0,0
181274.0,Gilson Helena,OH,Belgium,22.0,184,2021,Dominican Republic,2021-05-31,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181274.0,Gilson Helena,OH,Belgium,22.0,184,2021,Poland,2021-06-01,True,0,0,0,0,0,0,0,0,2,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0
181274.0,Gilson Helena,OH,Belgium,22.0,184,2021,China,2021-06-06,True,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,1,0,0,1,1,0,0,0,0
